County,Confirmed cases,Probable Cases,Total Cases,Deaths,Vaccine,Population,Total Cases / 100K
Anderson,7317,3602,10919,256,24776,59025,18498.9
Andrews,3729,1353,5082,74,8366,19279,26360.3
Angelina,9842,7168,17010,503,40498,90989,18694.6
Aransas,4121,1403,5524,97,14327,23710,23298.2
Archer,2299,332,2631,30,4235,9228,28511.1
Armstrong,442,252,694,10,727,2001,34682.7
Atascosa,12465,3211,15676,240,26017,50898,30798.9
Austin,5437,1539,6976,84,15048,32067,21754.5
Bailey,1046,713,1759,39,2723,7113,24729.4
Bandera,3022,1252,4274,80,10399,23129,18479
Bastrop,19955,7216,27171,253,52553,89564,30337
Baylor,393,541,934,33,1476,3751,24900
Bee,7358,2582,9940,155,16815,33471,29697.3
Bell,66213,19608,85821,941,163770,359255,23888.6
Bexar,565096,130326,695422,6481,1332284,1997417,34816.1
Blanco,1902,1296,3198,35,6296,12159,26301.5
Borden,92,32,124,2,201,680,18235.3
Bosque,3290,1581,4871,75,8636,19062,25553.5
Bowie,13864,10675,24539,454,34101,96380,25460.7
Brazoria,95943,20590,116533,1037,225677,380439,30631.2
Brazos,65590,9119,74709,436,120850,230789,32371.1
Brewster,1031,329,1360,34,5160,9092,14958.2
Briscoe,431,145,576,8,641,1572,36641.2
Brooks,1386,688,2074,55,7326,7115,29149.7
Brown,6801,8402,15203,236,16131,38993,38989
Burleson,4745,1319,6064,68,9030,18373,33005
Burnet,11033,2528,13561,179,26188,48716,27836.9
Caldwell,15030,2636,17666,186,24898,43199,40894.5
Calhoun,4482,2542,7024,54,11533,22028,31886.7
Callahan,1667,1829,3496,80,5347,14070,24847.2
Cameron,95349,39162,134511,2117,353438,426210,31559.8
Camp,2059,1501,3560,77,5698,12914,27567
Carson,1178,568,1746,38,2102,5951,29339.6
Cass,5540,3337,8877,204,10607,30451,29151.8
Castro,2204,583,2787,48,3277,7380,37764.2
Chambers,12074,700,12774,74,22126,44298,28836.5
Cherokee,4004,5765,9769,261,21783,53539,18246.5
Childress,2819,219,3038,35,3710,7038,43165.7
Clay,2146,372,2518,42,4495,10351,24326.2
Cochran,737,301,1038,25,1115,2904,35743.8
Coke,408,670,1078,21,1305,3390,31799.4
Coleman,1326,750,2076,77,3133,8191,25344.9
Collin,196108,78886,274994,1611,717594,1033046,26619.7
Collingsworth,557,337,894,16,975,2853,31335.4
Colorado,3525,1012,4537,68,11460,22283,20360.8
Comal,26526,16626,43152,582,98076,156317,27605.4
Comanche,2686,1345,4031,81,6263,13878,29046
Concho,659,723,1382,14,1396,2716,50883.7
Cooke,6638,1885,8523,145,16022,40477,21056.4
Coryell,17129,4199,21328,234,33076,75137,28385.5
Cottle,334,52,386,9,518,1354,28508.1
Crane,429,1121,1550,25,1765,4678,33133.8
Crockett,186,1204,1390,20,1637,3461,40161.8
Crosby,1183,1105,2288,46,2590,5702,40126.3
Culberson,504,48,552,14,1164,2211,24966.1
Dallam,1784,658,2442,45,3125,7053,34623.6
Dallas,572168,120526,692694,7110,1608328,2647576,26163.3
Dawson,1991,1571,3562,101,4482,12720,28003.1
Deaf Smith,4394,1391,5785,117,8044,19572,29557.5
Delta,816,1244,2060,27,1825,5295,38904.6
Denton,157240,56935,214175,1445,561167,886563,24157.9
DeWitt,4679,2630,7309,110,9380,20611,35461.6
Dickens,244,277,521,16,724,2119,24587.1
Dimmit,5047,1144,6191,52,7551,9709,63765.6
Donley,498,818,1316,26,1215,3228,40768.3
