Rank,County,Per capita income,Median household income,Median family income,Population,Numver of households
1,Collin,42220,83889,84306,782341,181970
2,Borden,40916,58409,60536,641,264
3,King,39511,61563,80500,286,113
4,Loving,37362,80504,94785,134,31
5,Kendall,36418,66655,80801,33410,12617
6,Rockwall,33274,78032,83639,78337,26448
7,Denton,32538,70622,86891,662614,240289
8,Fort Bend,32016,79845,88454,585375,187384
9,Montgomery,31959,65620,76096,455746,162530
10,Comal,31862,64752,75831,108472,41363
11,Irion,31857,48833,67604,1599,653
12,Travis,31785,54074,69646,1024266,404467
13,Edwards,31109,40163,44118,2002,839
14,Midland,30956,54945,64913,136872,50845
15,Hood,30687,54882,65844,51182,20795
16,Williamson,29663,68780,78040,422679,152606
17,Andrews,29605,48699,55905,14786,5259
18,Hemphill,29343,62159,76176,3807,1382
19,Roberts,29291,52500,61375,929,359
20,Llano,29027,41969,52880,19301,9008
21,Galveston,28959,58317,70870,291309,108969
22,Randall,28668,56041,70592,120725,47975
23,Parker,28539,61340,71217,116927,42069
24,Goliad,28120,51786,62450,7210,2868
25,Gillespie,28072,52682,62746,24837,10572
26,Brazoria,27529,65607,76018,313166,106589
27,Tarrant,27333,55306,65351,1809034,657134
28,Wheeler,27282,42909,54495,5410,2181
29,Kimble,27118,43429,52262,4607,2016
30,Kent,27021,47750,54000,808,350
31,Blanco,27010,46128,64353,10497,4309
32,Austin,26959,53263,62816,28417,10837
33,Fayette,26898,45450,56157,24554,10078
34,Harris,26788,51444,58505,4092459,1435155
35,Chambers,26453,66764,74705,35096,11952
36,Somervell,26314,52135,68942,8490,3078
37,Dallas,26185,47974,53849,2368139,855960
38,Glasscock,26104,61184,68214,1226,441
39,Hays,25998,56353,74471,157107,55245
40,Aransas,25610,42179,51058,23158,9795
41,Washington,25464,43159,56039,33718,13037
42,Kerr,25454,43072,52559,49625,20550
43,Smith,25374,46139,57225,209714,79055
44,Ellis,25346,60877,69000,149610,50503
45,Burnet,25245,48187,58045,42750,16511
46,Guadalupe,25218,61274,69090,131533,45762
47,Stonewall,25177,52222,60227,1490,642
48,Wilson,25149,60493,66791,42918,15009
49,Carson,24977,56106,64746,6182,2452
,Texas,24870,49646,58142,25145561,8922933
50,Lipscomb,24839,52566,56523,3302,1263
51,Young,24656,36900,50571,18550,7343
52,Hartley,24616,66583,71332,6062,1771
53,Clay,24565,50881,58050,10752,4319
54,Jackson,24337,47483,58561,14075,5284
55,Bandera,24249,44352,52104,20485,8564
56,Armstrong,24195,60530,64130,1901,751
57,Crockett,24194,50653,51250,3719,1422
58,Victoria,24146,48767,55013,86793,32187
59,Wise,24075,55207,63719,59127,21015
60,Hardin,23965,52755,61451,54635,20462
61,Kaufman,23909,58555,65761,103350,34964
62,Archer,23882,50891,63388,9054,3538
63,Franklin,23821,45625,55839,10605,4159
64,Johnson,23669,54954,61462,150934,52193
65,Cooke,23598,48899,57689,38437,14513
66,Brewster,23577,35799,56710,9232,4207
67,Mason,23555,38702,55368,4012,1754
68,Menard,23362,40996,54074,2242,994
69,Sutton,23325,56146,64648,4128,1550
70,Grayson,23242,46875,57623,120877,46905
71,Freestone,23235,44560,56696,19816,7259
72,Bexar,23225,47048,55715,1714773,608931
73,Lavaca,23168,41429,52365,19263,7808
74,Orange,23155,47914,58019,81837,31031
75,Upton,23112,49234,54583,3355,1256
76,Lee,23074,46986,62487,16612,6151
77,Reagan,23028,54224,54784,3367,1156
78,Gregg,23024,43367,54552,121730,45798
79,Lampasas,22943,46378,54500,19677,7539
80,Bastrop,22918,51829,60012,74171,25840
81,Baylor,22894,33459,49531,3726,1669
82,Ector,22859,45815,54395,137130,48688
83,Panola,22846,45622,53070,23796,9271
84,Wichita,22837,42971,52514,131500,49016
85,Calhoun,22835,43258,51766,21381,7766
86,Lubbock,22831,42562,54518,278831,105781
87,Gaines,22785,46393,53666,17526,5606
88,Haskell,22734,35295,41806,5899,2297
89,Bell,22722,48618,55191,310235,114035
90,Colorado,22676,41145,52526,20874,8182
91,Matagorda,22623,43205,48508,36702,13894
92,Taylor,22606,42403,53500,131506,50725
93,Nueces,22558,43280,52736,340223,124587
